,artifact,prop,prop_mean
0,artifact0,300,300
1,artifact1,301,301
10,artifact10,310,310
100,artifact100,400,400
1000,artifact1000,1300,1300
1001,artifact1001,1301,1301
1002,artifact1002,1302,1302
1003,artifact1003,1303,1303
1004,artifact1004,1304,1304
1005,artifact1005,1305,1305
1006,artifact1006,1306,1306
1007,artifact1007,1307,1307
1008,artifact1008,1308,1308
1009,artifact1009,1309,1309
101,artifact101,401,401
1010,artifact1010,1310,1310
1011,artifact1011,1311,1311
1012,artifact1012,1312,1312
1013,artifact1013,1313,1313
1014,artifact1014,1314,1314
1015,artifact1015,1315,1315
1016,artifact1016,1316,1316
1017,artifact1017,1317,1317
1018,artifact1018,1318,1318
1019,artifact1019,1319,1319
102,artifact102,402,402
1020,artifact1020,1320,1320
1021,artifact1021,1321,1321
1022,artifact1022,1322,1322
1023,artifact1023,1323,1323
1024,artifact1024,1324,1324
1025,artifact1025,1325,1325
1026,artifact1026,1326,1326
1027,artifact1027,1327,1327
1028,artifact1028,1328,1328
1029,artifact1029,1329,1329
103,artifact103,403,403
1030,artifact1030,1330,1330
1031,artifact1031,1331,1331
1032,artifact1032,1332,1332
1033,artifact1033,1333,1333
1034,artifact1034,1334,1334
1035,artifact1035,1335,1335
1036,artifact1036,1336,1336
1037,artifact1037,1337,1337
1038,artifact1038,1338,1338
1039,artifact1039,1339,1339
104,artifact104,404,404
1040,artifact1040,1340,1340
1041,artifact1041,1341,1341
1042,artifact1042,1342,1342
1043,artifact1043,1343,1343
1044,artifact1044,1344,1344
1045,artifact1045,1345,1345
1046,artifact1046,1346,1346
1047,artifact1047,1347,1347
1048,artifact1048,1348,1348
1049,artifact1049,1349,1349
105,artifact105,405,405
1050,artifact1050,1350,1350
1051,artifact1051,1351,1351
1052,artifact1052,1352,1352
1053,artifact1053,1353,1353
1054,artifact1054,1354,1354
1055,artifact1055,1355,1355
1056,artifact1056,1356,1356
1057,artifact1057,1357,1357
1058,artifact1058,1358,1358
1059,artifact1059,1359,1359
106,artifact106,406,406
1060,artifact1060,1360,1360
1061,artifact1061,1361,1361
1062,artifact1062,1362,1362
1063,artifact1063,1363,1363
1064,artifact1064,1364,1364
1065,artifact1065,1365,1365
1066,artifact1066,1366,1366
1067,artifact1067,1367,1367
1068,artifact1068,1368,1368
1069,artifact1069,1369,1369
107,artifact107,407,407
1070,artifact1070,1370,1370
1071,artifact1071,1371,1371
1072,artifact1072,1372,1372
1073,artifact1073,1373,1373
1074,artifact1074,1374,1374
1075,artifact1075,1375,1375
1076,artifact1076,1376,1376
1077,artifact1077,1377,1377
1078,artifact1078,1378,1378
1079,artifact1079,1379,1379
108,artifact108,408,408
1080,artifact1080,1380,1380
1081,artifact1081,1381,1381
1082,artifact1082,1382,1382
1083,artifact1083,1383,1383
1084,artifact1084,1384,1384
1085,artifact1085,1385,1385
1086,artifact1086,1386,1386
1087,artifact1087,1387,1387
1088,artifact1088,1388,1388
1089,artifact1089,1389,1389
109,artifact109,409,409
1090,artifact1090,1390,1390
1091,artifact1091,1391,1391
1092,artifact1092,1392,1392
1093,artifact1093,1393,1393
1094,artifact1094,1394,1394
1095,artifact1095,1395,1395
1096,artifact1096,1396,1396
1097,artifact1097,1397,1397
1098,artifact1098,1398,1398
1099,artifact1099,1399,1399
11,artifact11,311,311
110,artifact110,410,410
1100,artifact1100,1400,1400
1101,artifact1101,1401,1401
1102,artifact1102,1402,1402
1103,artifact1103,1403,1403
1104,artifact1104,1404,1404
1105,artifact1105,1405,1405
1106,artifact1106,1406,1406
1107,artifact1107,1407,1407
1108,artifact1108,1408,1408
1109,artifact1109,1409,1409
111,artifact111,411,411
1110,artifact1110,1410,1410
1111,artifact1111,1411,1411
1112,artifact1112,1412,1412
1113,artifact1113,1413,1413
1114,artifact1114,1414,1414
1115,artifact1115,1415,1415
1116,artifact1116,1416,1416
1117,artifact1117,1417,1417
1118,artifact1118,1418,1418
1119,artifact1119,1419,1419
112,artifact112,412,412
1120,artifact1120,1420,1420
1121,artifact1121,1421,1421
1122,artifact1122,1422,1422
1123,artifact1123,1423,1423
1124,artifact1124,1424,1424
1125,artifact1125,1425,1425
1126,artifact1126,1426,1426
1127,artifact1127,1427,1427
1128,artifact1128,1428,1428
1129,artifact1129,1429,1429
113,artifact113,413,413
1130,artifact1130,1430,1430
1131,artifact1131,1431,1431
1132,artifact1132,1432,1432
1133,artifact1133,1433,1433
1134,artifact1134,1434,1434
1135,artifact1135,1435,1435
1136,artifact1136,1436,1436
1137,artifact1137,1437,1437
1138,artifact1138,1438,1438
1139,artifact1139,1439,1439
114,artifact114,414,414
1140,artifact1140,1440,1440
1141,artifact1141,1441,1441
1142,artifact1142,1442,1442
1143,artifact1143,1443,1443
1144,artifact1144,1444,1444
1145,artifact1145,1445,1445
1146,artifact1146,1446,1446
1147,artifact1147,1447,1447
1148,artifact1148,1448,1448
1149,artifact1149,1449,1449
115,artifact115,415,415
1150,artifact1150,1450,1450
1151,artifact1151,1451,1451
1152,artifact1152,1452,1452
1153,artifact1153,1453,1453
1154,artifact1154,1454,1454
1155,artifact1155,1455,1455
1156,artifact1156,1456,1456
1157,artifact1157,1457,1457
1158,artifact1158,1458,1458
1159,artifact1159,1459,1459
116,artifact116,416,416
1160,artifact1160,1460,1460
1161,artifact1161,1461,1461
1162,artifact1162,1462,1462
1163,artifact1163,1463,1463
1164,artifact1164,1464,1464
1165,artifact1165,1465,1465
1166,artifact1166,1466,1466
1167,artifact1167,1467,1467
1168,artifact1168,1468,1468
1169,artifact1169,1469,1469
117,artifact117,417,417
1170,artifact1170,1470,1470
1171,artifact1171,1471,1471
1172,artifact1172,1472,1472
1173,artifact1173,1473,1473
1174,artifact1174,1474,1474
1175,artifact1175,1475,1475
1176,artifact1176,1476,1476
1177,artifact1177,1477,1477
1178,artifact1178,1478,1478
1179,artifact1179,1479,1479
118,artifact118,418,418
1180,artifact1180,1480,1480
1181,artifact1181,1481,1481
1182,artifact1182,1482,1482
1183,artifact1183,1483,1483
1184,artifact1184,1484,1484
1185,artifact1185,1485,1485
1186,artifact1186,1486,1486
1187,artifact1187,1487,1487
1188,artifact1188,1488,1488
1189,artifact1189,1489,1489
119,artifact119,419,419
1190,artifact1190,1490,1490
1191,artifact1191,1491,1491
1192,artifact1192,1492,1492
1193,artifact1193,1493,1493
1194,artifact1194,1494,1494
1195,artifact1195,1495,1495
1196,artifact1196,1496,1496
1197,artifact1197,1497,1497
1198,artifact1198,1498,1498
1199,artifact1199,1499,1499
12,artifact12,312,312
120,artifact120,420,420
1200,artifact1200,1500,1500
1201,artifact1201,1501,1501
1202,artifact1202,1502,1502
1203,artifact1203,1503,1503
1204,artifact1204,1504,1504
1205,artifact1205,1505,1505
1206,artifact1206,1506,1506
1207,artifact1207,1507,1507
1208,artifact1208,1508,1508
1209,artifact1209,1509,1509
121,artifact121,421,421
1210,artifact1210,1510,1510
1211,artifact1211,1511,1511
1212,artifact1212,1512,1512
1213,artifact1213,1513,1513
1214,artifact1214,1514,1514
1215,artifact1215,1515,1515
1216,artifact1216,1516,1516
1217,artifact1217,1517,1517
1218,artifact1218,1518,1518
1219,artifact1219,1519,1519
122,artifact122,422,422
1220,artifact1220,1520,1520
1221,artifact1221,1521,1521
1222,artifact1222,1522,1522
1223,artifact1223,1523,1523
1224,artifact1224,1524,1524
1225,artifact1225,1525,1525
1226,artifact1226,1526,1526
1227,artifact1227,1527,1527
1228,artifact1228,1528,1528
1229,artifact1229,1529,1529
123,artifact123,423,423
1230,artifact1230,1530,1530
1231,artifact1231,1531,1531
1232,artifact1232,1532,1532
1233,artifact1233,1533,1533
1234,artifact1234,1534,1534
1235,artifact1235,1535,1535
1236,artifact1236,1536,1536
1237,artifact1237,1537,1537
1238,artifact1238,1538,1538
1239,artifact1239,1539,1539
124,artifact124,424,424
1240,artifact1240,1540,1540
1241,artifact1241,1541,1541
1242,artifact1242,1542,1542
1243,artifact1243,1543,1543
1244,artifact1244,1544,1544
1245,artifact1245,1545,1545
1246,artifact1246,1546,1546
1247,artifact1247,1547,1547
1248,artifact1248,1548,1548
1249,artifact1249,1549,1549
125,artifact125,425,425
1250,artifact1250,1550,1550
1251,artifact1251,1551,1551
1252,artifact1252,1552,1552
1253,artifact1253,1553,1553
1254,artifact1254,1554,1554
1255,artifact1255,1555,1555
1256,artifact1256,1556,1556
1257,artifact1257,1557,1557
1258,artifact1258,1558,1558
1259,artifact1259,1559,1559
126,artifact126,426,426
1260,artifact1260,1560,1560
1261,artifact1261,1561,1561
1262,artifact1262,1562,1562
1263,artifact1263,1563,1563
1264,artifact1264,1564,1564
1265,artifact1265,1565,1565
1266,artifact1266,1566,1566
1267,artifact1267,1567,1567
1268,artifact1268,1568,1568
1269,artifact1269,1569,1569
127,artifact127,427,427
1270,artifact1270,1570,1570
1271,artifact1271,1571,1571
1272,artifact1272,1572,1572
1273,artifact1273,1573,1573
1274,artifact1274,1574,1574
1275,artifact1275,1575,1575
1276,artifact1276,1576,1576
1277,artifact1277,1577,1577
1278,artifact1278,1578,1578
1279,artifact1279,1579,1579
128,artifact128,428,428
1280,artifact1280,1580,1580
1281,artifact1281,1581,1581
1282,artifact1282,1582,1582
1283,artifact1283,1583,1583
1284,artifact1284,1584,1584
1285,artifact1285,1585,1585
1286,artifact1286,1586,1586
1287,artifact1287,1587,1587
1288,artifact1288,1588,1588
1289,artifact1289,1589,1589
129,artifact129,429,429
1290,artifact1290,1590,1590
1291,artifact1291,1591,1591
1292,artifact1292,1592,1592
1293,artifact1293,1593,1593
1294,artifact1294,1594,1594
1295,artifact1295,1595,1595
1296,artifact1296,1596,1596
1297,artifact1297,1597,1597
1298,artifact1298,1598,1598
1299,artifact1299,1599,1599
13,artifact13,313,313
130,artifact130,430,430
1300,artifact1300,1600,1600
1301,artifact1301,1601,1601
1302,artifact1302,1602,1602
1303,artifact1303,1603,1603
1304,artifact1304,1604,1604
1305,artifact1305,1605,1605
1306,artifact1306,1606,1606
1307,artifact1307,1607,1607
1308,artifact1308,1608,1608
1309,artifact1309,1609,1609
131,artifact131,431,431
1310,artifact1310,1610,1610
1311,artifact1311,1611,1611
1312,artifact1312,1612,1612
1313,artifact1313,1613,1613
1314,artifact1314,1614,1614
1315,artifact1315,1615,1615
1316,artifact1316,1616,1616
1317,artifact1317,1617,1617
1318,artifact1318,1618,1618
1319,artifact1319,1619,1619
132,artifact132,432,432
1320,artifact1320,1620,1620
1321,artifact1321,1621,1621
1322,artifact1322,1622,1622
1323,artifact1323,1623,1623
1324,artifact1324,1624,1624
1325,artifact1325,1625,1625
1326,artifact1326,1626,1626
1327,artifact1327,1627,1627
1328,artifact1328,1628,1628
1329,artifact1329,1629,1629
133,artifact133,433,433
1330,artifact1330,1630,1630
1331,artifact1331,1631,1631
1332,artifact1332,1632,1632
