,date,tag_count,image_count,latest_images,arm_images,arm64_images,ppc64le_images,x386_images,amd64_images,s390x_images,linux_images,windows_images,node_id
0,2019-11-11 00:00:00,5193,8657,1049,1103,908,665,521,4041,1403,8467,147,node1
1,2019-11-13 00:00:00,5202,8594,1050,1083,871,664,519,4044,1397,8410,141,node1
2,2019-11-14 00:00:00,5204,8673,1057,1115,902,677,519,4051,1393,8464,166,node1
3,2019-11-15 00:00:00,5246,8710,1056,1106,898,676,518,4104,1392,8478,189,node1
4,2019-11-16 00:00:00,5249,8700,1055,1096,893,686,518,4099,1392,8470,187,node1
5,2019-11-17 00:00:00,5250,8699,1055,1096,891,676,518,4099,1403,8469,187,node1
6,2019-11-18 00:00:00,5250,8749,1056,1072,902,712,518,4117,1412,8519,187,node1
7,2019-11-19 00:00:00,5251,8698,1033,1104,897,653,517,4121,1390,8477,178,node1
8,2019-11-20 00:00:00,5272,8739,1033,1124,886,689,528,4111,1385,8516,180,node1
9,2019-11-21 00:00:00,5282,8744,1038,1119,884,650,525,4140,1410,8506,195,node1
10,2019-11-22 00:00:00,5287,8590,1044,1071,863,622,503,4148,1367,8345,202,node1
11,2019-11-23 00:00:00,5294,8767,1086,1120,912,647,523,4126,1423,8553,171,node1
12,2019-11-24 00:00:00,5296,8805,1090,1123,944,670,521,4150,1381,8586,176,node1
13,2019-11-25 00:00:00,5296,8808,1090,1123,947,644,521,4173,1384,8589,176,node1
14,2019-11-26 00:00:00,5304,8824,1097,1126,947,658,523,4172,1382,8605,176,node1
15,2019-11-27 00:00:00,5309,8810,1084,1112,954,646,515,4187,1380,8596,171,node1
16,2019-11-28 00:00:00,5317,8930,1084,1089,974,694,515,4222,1420,8716,171,node1
17,2019-11-29 00:00:00,5318,8830,1094,1093,941,649,530,4193,1408,8616,171,node1
18,2019-11-30 00:00:00,5319,8835,1094,1110,945,649,530,4207,1378,8621,171,node1
19,2019-12-01 00:00:00,5319,8974,1094,1093,968,709,530,4224,1434,8760,171,node1
20,2019-12-02 00:00:00,5319,8831,1094,1117,941,649,530,4200,1378,8617,171,node1
21,2019-12-03 00:00:00,5319,8830,1091,1118,945,649,530,4160,1412,8627,160,node1
22,2019-12-04 00:00:00,5321,8778,1098,1117,920,647,528,4147,1403,8579,156,node1
23,2019-12-05 00:00:00,5329,8775,1094,1118,916,679,529,4148,1369,8580,152,node1
24,2019-12-06 00:00:00,5336,8746,1091,1088,910,645,521,4196,1370,8537,166,node1
25,2019-12-07 00:00:00,5340,8745,1085,1111,909,635,521,4194,1359,8536,166,node1
26,2019-12-08 00:00:00,5342,8748,1085,1111,910,671,521,4160,1359,8539,166,node1
27,2019-12-10 00:00:00,5348,8725,1088,1104,902,635,517,4156,1395,8515,167,node1
28,2019-12-11 00:00:00,5365,8708,1084,1095,900,641,511,4169,1376,8495,170,node1
29,2019-12-12 00:00:00,5366,8681,1107,1068,888,634,507,4219,1349,8419,219,node1
30,2019-12-13 00:00:00,5370,8683,1104,1068,888,624,503,4232,1352,8428,212,node1
31,2019-12-14 00:00:00,5370,8680,1103,1066,883,626,503,4232,1354,8425,212,node1
32,2019-12-15 00:00:00,5370,8681,1103,1066,884,639,503,4219,1354,8426,212,node1
33,2019-12-16 00:00:00,5370,8682,1104,1065,883,627,503,4232,1356,8427,212,node1
34,2019-12-17 00:00:00,5386,8716,1103,1057,887,652,503,4227,1374,8467,206,node1
35,2019-12-18 00:00:00,5400,8722,1092,1071,888,630,506,4254,1357,8482,197,node1
36,2019-12-19 00:00:00,5402,8834,1104,1097,897,652,530,4266,1376,8604,187,node1
37,2019-12-20 00:00:00,5402,8758,1112,1066,891,681,499,4231,1374,8526,189,node1
38,2019-12-21 00:00:00,5406,8885,1092,1101,913,667,524,4265,1399,8678,164,node1
39,2019-12-22 00:00:00,5406,8869,1092,1107,909,687,524,4233,1393,8662,164,node1
40,2019-12-23 00:00:00,5406,8866,1091,1090,936,674,524,4233,1393,8659,164,node1
41,2019-12-24 00:00:00,5406,8837,1081,1096,919,669,519,4230,1388,8635,159,node1
42,2019-12-25 00:00:00,5408,8854,1081,1104,924,670,520,4231,1389,8652,159,node1
43,2019-12-26 00:00:00,5408,8855,1081,1104,912,660,520,4254,1389,8653,159,node1
44,2019-12-27 00:00:00,5408,8930,1057,1129,927,680,533,4236,1409,8749,138,node1
45,2019-12-28 00:00:00,5409,8938,1084,1126,925,670,544,4249,1408,8760,135,node1
46,2019-12-29 00:00:00,5409,8930,1120,1116,955,669,527,4260,1387,8728,159,node1
47,2019-12-30 00:00:00,5409,8918,1124,1114,947,658,525,4273,1385,8716,159,node1
48,2019-12-31 00:00:00,5409,8894,1121,1114,930,669,523,4259,1383,8687,164,node1
49,2020-01-01 00:00:00,5409,8892,1121,1090,928,663,523,4289,1383,8685,164,node1
50,2020-01-02 00:00:00,5409,8894,1121,1114,930,656,523,4272,1383,8687,164,node1
51,2020-01-03 00:00:00,5409,8940,1120,1110,944,670,523,4280,1397,8731,166,node1
52,2020-01-04 00:00:00,5409,8894,1112,1105,930,662,523,4268,1390,8689,162,node1
53,2020-01-05 00:00:00,5409,8895,1112,1098,931,662,523,4275,1390,8690,162,node1
54,2020-01-06 00:00:00,5409,8894,1112,1106,929,672,523,4258,1390,8689,162,node1
55,2020-01-07 00:00:00,5411,8912,1119,1114,933,662,523,4270,1394,8707,162,node1
56,2020-01-08 00:00:00,5423,8942,1122,1124,938,662,527,4281,1394,8739,160,node1
57,2020-01-09 00:00:00,5445,9034,1123,1130,945,732,547,4270,1394,8831,160,node1
58,2020-01-10 00:00:00,5445,9012,1116,1125,946,726,543,4266,1390,8809,160,node1
59,2020-01-11 00:00:00,5450,9023,1117,1150,947,666,543,4311,1390,8820,160,node1
60,2020-01-12 00:00:00,5454,9028,1117,1150,948,666,543,4315,1390,8825,160,node1
61,2020-01-13 00:00:00,5454,9026,1117,1150,946,666,543,4315,1390,8823,160,node1
62,2020-01-14 00:00:00,5454,9034,1123,1157,944,666,546,4315,1390,8831,160,node1
63,2020-01-15 00:00:00,5458,9043,1136,1155,944,672,544,4322,1390,8834,166,node1
64,2020-01-16 00:00:00,5485,8964,1147,1096,910,669,524,4352,1397,8715,206,node1
65,2020-01-17 00:00:00,5487,8964,1148,1096,908,669,524,4354,1397,8715,206,node1
66,2020-01-18 00:00:00,5488,9105,1077,1150,934,696,550,4342,1417,8903,159,node1
67,2020-01-19 00:00:00,5488,9084,1077,1144,931,693,547,4339,1414,8882,159,node1
68,2020-01-20 00:00:00,5488,9169,1078,1120,960,733,547,4353,1440,8967,159,node1
69,2020-01-21 00:00:00,5488,9067,1080,1118,932,702,546,4347,1406,8868,156,node1
70,2020-01-22 00:00:00,5488,9006,1077,1099,937,686,531,4347,1390,8813,150,node1
71,2020-01-23 00:00:00,5489,8961,1066,1074,915,686,538,4339,1393,8777,141,node1
72,2020-01-24 00:00:00,5467,8907,1047,1114,916,676,523,4290,1372,8741,123,node1
73,2020-01-25 00:00:00,5467,8846,1038,1090,876,643,513,4347,1361,8642,161,node1
74,2020-01-26 00:00:00,5467,8846,1038,1090,876,653,513,4337,1361,8642,161,node1
75,2020-01-27 00:00:00,5467,8845,1038,1090,875,703,513,4287,1361,8641,161,node1
76,2020-01-28 00:00:00,5467,8962,1031,1086,912,721,503,4325,1399,8784,135,node1
77,2020-01-29 00:00:00,5490,8851,1064,1076,893,657,498,4344,1367,8659,149,node1
78,2020-01-30 00:00:00,5497,8872,1068,1077,895,664,491,4355,1374,8668,161,node1
79,2020-01-31 00:00:00,5504,8899,1080,1081,907,673,498,4351,1373,8690,166,node1
80,2020-02-01 00:00:00,5504,8936,1078,1087,913,701,499,4336,1384,8732,161,node1
81,2020-02-02 00:00:00,5506,9169,1133,1131,970,739,520,4368,1425,8996,130,node1
82,2020-02-03 00:00:00,5512,9075,1161,1140,969,671,515,4380,1384,8886,146,node1
83,2020-02-04 00:00:00,5517,9079,1163,1140,968,686,515,4370,1384,8890,146,node1
84,2020-02-05 00:00:00,5520,9109,1163,1162,965,685,537,4356,1388,8920,146,node1
85,2020-02-06 00:00:00,5521,9016,1146,1116,968,658,524,4361,1373,8816,157,node1
86,2020-02-07 00:00:00,5528,9014,1144,1113,957,640,530,4387,1371,8799,172,node1
87,2020-02-08 00:00:00,5528,9066,1142,1091,967,690,530,4387,1385,8851,172,node1
88,2020-02-09 00:00:00,5528,9103,1142,1091,976,700,530,4397,1393,8888,172,node1
89,2020-02-10 00:00:00,5532,9094,1142,1091,977,688,530,4401,1391,8879,172,node1
90,2020-02-11 00:00:00,5519,8961,1140,1090,942,641,531,4350,1391,8750,168,node1
91,2020-02-12 00:00:00,5521,8992,1132,1093,952,674,531,4326,1399,8785,163,node1
