date,tag_count,image_count,latest_images,arm_images,arm64_images,ppc64le_images,x386_images,amd64_images,s390x_images,linux_images,windows_images
2019-11-11 00:00:00,5193.0,8657.0,1049.0,1103.0,908.0,665.0,521.0,4041.0,1403.0,8467.0,147.0
2019-11-13 00:00:00,5202.0,8594.0,1050.0,1083.0,871.0,664.0,519.0,4044.0,1397.0,8410.0,141.0
2019-11-14 00:00:00,5204.0,8673.0,1057.0,1115.0,902.0,677.0,519.0,4051.0,1393.0,8464.0,166.0
2019-11-15 00:00:00,5246.0,8710.0,1056.0,1106.0,898.0,676.0,518.0,4104.0,1392.0,8478.0,189.0
2019-11-16 00:00:00,5249.0,8700.0,1055.0,1096.0,893.0,686.0,518.0,4099.0,1392.0,8470.0,187.0
2019-11-17 00:00:00,5250.0,8699.0,1055.0,1096.0,891.0,676.0,518.0,4099.0,1403.0,8469.0,187.0
2019-11-18 00:00:00,5250.0,8749.0,1056.0,1072.0,902.0,712.0,518.0,4117.0,1412.0,8519.0,187.0
2019-11-19 00:00:00,5251.0,8698.0,1033.0,1104.0,897.0,653.0,517.0,4121.0,1390.0,8477.0,178.0
2019-11-20 00:00:00,5272.0,8739.0,1033.0,1124.0,886.0,689.0,528.0,4111.0,1385.0,8516.0,180.0
2019-11-21 00:00:00,5282.0,8744.0,1038.0,1119.0,884.0,650.0,525.0,4140.0,1410.0,8506.0,195.0
2019-11-22 00:00:00,5287.0,8590.0,1044.0,1071.0,863.0,622.0,503.0,4148.0,1367.0,8345.0,202.0
2019-11-23 00:00:00,5294.0,8767.0,1086.0,1120.0,912.0,647.0,523.0,4126.0,1423.0,8553.0,171.0
2019-11-24 00:00:00,5296.0,8805.0,1090.0,1123.0,944.0,670.0,521.0,4150.0,1381.0,8586.0,176.0
2019-11-25 00:00:00,5296.0,8808.0,1090.0,1123.0,947.0,644.0,521.0,4173.0,1384.0,8589.0,176.0
2019-11-26 00:00:00,5304.0,8824.0,1097.0,1126.0,947.0,658.0,523.0,4172.0,1382.0,8605.0,176.0
2019-11-27 00:00:00,5309.0,8810.0,1084.0,1112.0,954.0,646.0,515.0,4187.0,1380.0,8596.0,171.0
2019-11-28 00:00:00,5317.0,8930.0,1084.0,1089.0,974.0,694.0,515.0,4222.0,1420.0,8716.0,171.0
2019-11-29 00:00:00,5318.0,8830.0,1094.0,1093.0,941.0,649.0,530.0,4193.0,1408.0,8616.0,171.0
2019-11-30 00:00:00,5319.0,8835.0,1094.0,1110.0,945.0,649.0,530.0,4207.0,1378.0,8621.0,171.0
2019-12-01 00:00:00,5319.0,8974.0,1094.0,1093.0,968.0,709.0,530.0,4224.0,1434.0,8760.0,171.0
2019-12-02 00:00:00,5319.0,8831.0,1094.0,1117.0,941.0,649.0,530.0,4200.0,1378.0,8617.0,171.0
2019-12-03 00:00:00,5319.0,8830.0,1091.0,1118.0,945.0,649.0,530.0,4160.0,1412.0,8627.0,160.0
2019-12-04 00:00:00,5321.0,8778.0,1098.0,1117.0,920.0,647.0,528.0,4147.0,1403.0,8579.0,156.0
2019-12-05 00:00:00,5329.0,8775.0,1094.0,1118.0,916.0,679.0,529.0,4148.0,1369.0,8580.0,152.0
2019-12-06 00:00:00,5336.0,8746.0,1091.0,1088.0,910.0,645.0,521.0,4196.0,1370.0,8537.0,166.0
2019-12-07 00:00:00,5340.0,8745.0,1085.0,1111.0,909.0,635.0,521.0,4194.0,1359.0,8536.0,166.0
2019-12-08 00:00:00,5342.0,8748.0,1085.0,1111.0,910.0,671.0,521.0,4160.0,1359.0,8539.0,166.0
2019-12-10 00:00:00,5348.0,8725.0,1088.0,1104.0,902.0,635.0,517.0,4156.0,1395.0,8515.0,167.0
2019-12-11 00:00:00,5365.0,8708.0,1084.0,1095.0,900.0,641.0,511.0,4169.0,1376.0,8495.0,170.0
2019-12-12 00:00:00,5366.0,8681.0,1107.0,1068.0,888.0,634.0,507.0,4219.0,1349.0,8419.0,219.0
