artifact,f1_min,f2_min,f3_min,f4_min,f5_min,f6_min,f7_min,f8_min,f9_min,f10_min,node_id_min,f1_max,f2_max,f3_max,f4_max,f5_max,f6_max,f7_max,f8_max,f9_max,f10_max,node_id_max,f1_mean,f2_mean,f3_mean,f4_mean,f5_mean,f6_mean,f7_mean,f8_mean,f9_mean,f10_mean
artifact0,300,300,300,300,300,300,300,300,300,300,node1,300,300,300,300,300,300,300,300,300,300,node9,300,300,300,300,300,300,300,300,300,300
artifact1,301,301,301,301,301,301,301,301,301,301,node1,301,301,301,301,301,301,301,301,301,301,node9,301,301,301,301,301,301,301,301,301,301
artifact10,310,310,310,310,310,310,310,310,310,310,node1,310,310,310,310,310,310,310,310,310,310,node9,310,310,310,310,310,310,310,310,310,310
artifact100,400,400,400,400,400,400,400,400,400,400,node1,400,400,400,400,400,400,400,400,400,400,node9,400,400,400,400,400,400,400,400,400,400
artifact1000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,node1,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,node9,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
artifact1001,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,node1,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301,node9,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301
artifact1002,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,node1,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302,node9,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302
artifact1003,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,node1,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,node9,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303
artifact1004,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,node1,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,node9,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304
artifact1005,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,node1,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,node9,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305
