artifact,f1_min,f2_min,node_id_min,f1_max,f2_max,node_id_max,f1_mean,f2_mean
artifact0,300,300,node1,300,300,node3,300,300
artifact1,301,301,node1,301,301,node3,301,301
artifact10,310,310,node1,310,310,node3,310,310
artifact100,400,400,node1,400,400,node3,400,400
artifact1000,1300,1300,node1,1300,1300,node3,1300,1300
artifact1001,1301,1301,node1,1301,1301,node3,1301,1301
artifact1002,1302,1302,node1,1302,1302,node3,1302,1302
artifact1003,1303,1303,node1,1303,1303,node3,1303,1303
artifact1004,1304,1304,node1,1304,1304,node3,1304,1304
artifact1005,1305,1305,node1,1305,1305,node3,1305,1305
artifact1006,1306,1306,node1,1306,1306,node3,1306,1306
artifact1007,1307,1307,node1,1307,1307,node3,1307,1307
artifact1008,1308,1308,node1,1308,1308,node3,1308,1308
artifact1009,1309,1309,node1,1309,1309,node3,1309,1309
artifact101,401,401,node1,401,401,node3,401,401
artifact1010,1310,1310,node1,1310,1310,node3,1310,1310
artifact1011,1311,1311,node1,1311,1311,node3,1311,1311
artifact1012,1312,1312,node1,1312,1312,node3,1312,1312
artifact1013,1313,1313,node1,1313,1313,node3,1313,1313
artifact1014,1314,1314,node1,1314,1314,node3,1314,1314
artifact1015,1315,1315,node1,1315,1315,node3,1315,1315
artifact1016,1316,1316,node1,1316,1316,node3,1316,1316
artifact1017,1317,1317,node1,1317,1317,node3,1317,1317
artifact1018,1318,1318,node1,1318,1318,node3,1318,1318
artifact1019,1319,1319,node1,1319,1319,node3,1319,1319
artifact102,402,402,node1,402,402,node3,402,402
artifact1020,1320,1320,node1,1320,1320,node3,1320,1320
artifact1021,1321,1321,node1,1321,1321,node3,1321,1321
artifact1022,1322,1322,node1,1322,1322,node3,1322,1322
artifact1023,1323,1323,node1,1323,1323,node3,1323,1323
artifact1024,1324,1324,node1,1324,1324,node3,1324,1324
artifact1025,1325,1325,node1,1325,1325,node3,1325,1325
artifact1026,1326,1326,node1,1326,1326,node3,1326,1326
artifact1027,1327,1327,node1,1327,1327,node3,1327,1327
