,function,language,stars_mean,watchers_mean,forks_mean
371,ACM-DynamoDB-Publisher,Python,0,1,1
379,ACM-S3-Publisher,Python,2,1,1
496,AIImageProcessor,JavaScript,1,0,0
256,ALB-Lambda-Target-BinaryResponse,Java,211,22,67
26,ALB-Lambda-Target-HelloWorld,Java,211,22,67
407,ALB-Lambda-Target-UploadFiletoS3,Java,211,22,67
122,ALB-Lambda-Target-WhatisMyIP,Java,211,22,67
404,AWS-Backup-DynamoDB-Rotator,Go,7,1,1
466,AWSBlogsFeed,Python,1,2,1
396,AWSNewsFeed,Python,2,1,1
181,Alexa-Nodejs-Dynamic-Content,JavaScript,0,1,2
25,AmazonConnectSalesforceLambda,Python,6,3,3
312,ApplicationCostMonitoring,Python,11,3,1
219,AthenaAwsCmdbConnector,Java,89,21,17
37,AthenaCloudwatchConnector,Java,89,21,17
177,AthenaCloudwatchMetricsConnector,Java,89,21,17
271,AthenaDocumentDBConnector,Java,89,21,17
38,AthenaDynamoDBConnector,Java,89,21,17
290,AthenaHBaseConnector,Java,89,21,17
51,AthenaJdbcConnector,Java,89,21,17
259,AthenaRedisConnector,Java,89,21,17
352,AthenaSQLITEConnector,Python,29,4,2
311,AthenaTPCDSConnector,Java,89,21,17
304,AthenaUserDefinedFunctions,Java,89,21,17
162,AutoUpdateCloudfrontSecurityGroups,Python,4,2,0
161,Automated-IAM-policy-alerts-and-approvals,JavaScript,6,3,1
245,Automated-Support-Ticket-Moderator,JavaScript,2,1,0
391,Carrier-Info,JavaScript,0,0,0
80,Chromium,Python,853,43,160
438,CitizenDispatch,JavaScript,4,0,1
408,Cleaner,Python,0,1,0
275,Cloudwatch-event-serverless-monitor-and-get-alerted-on-aws-account-activity,Python,0,0,2
420,CodePipelineSlackApprover,Ruby,6,1,0
84,CodePipelineSlackNotifier,Shell,68,2,27
90,Contact-Us,JavaScript,43,3,15
483,CopyRepoToCodeCommit,Python,2,0,1
445,CopyToBucket,JavaScript,0,0,0
369,Cribl-S3-To-Snowflake,JavaScript,1,1,2
434,DailyQuotes,Python,0,0,0
4,Datadog-Log-Forwarder,Python,143,173,217
106,DocumentGenerator,Python,853,43,160
317,EnergyProductFinder,Python,1,1,0
257,EtsyShopEventSource,TypeScript,2,1,0
206,EventWriter,JavaScript,4,2,0
384,ExcelLexBot,Python,8,2,6
474,ExpiryChecker,JavaScript,0,0,0
372,Find-Places,JavaScript,0,1,0
306,GenerateLookML,Python,0,64,1
