function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,999.0,137.0,1184.0,JavaScript
hello-world,42.0,7.0,22.0,JavaScript
alexa-skills-kit-nodejs-triviaskill,242.0,75.0,317.0,JavaScript
alexa-skills-kit-nodejs-howtoskill,235.0,56.0,205.0,JavaScript
Datadog-Log-Forwarder,143.0,173.0,217.0,Python
microservice-http-endpoint,42.0,7.0,22.0,JavaScript
alexa-skills-kit-color-expert-python,42.0,7.0,22.0,JavaScript
alexa-skills-kit-color-expert,42.0,7.0,22.0,JavaScript
hello-world-python3,42.0,7.0,22.0,JavaScript
alexa-smart-home-skill-adapter,42.0,7.0,22.0,JavaScript
image-magick-lambda-layer,67.0,5.0,39.0,JavaScript
image-resizer-service,64.0,0.0,32.0,JavaScript
alexa-skills-kit-python36-factskill,87.0,22.0,145.0,Python
uploader,90.0,8.0,40.0,JavaScript
api-gateway-dev-portal,528.0,35.0,181.0,JavaScript
cloudfront-response-generation,42.0,7.0,22.0,JavaScript
https-request,42.0,7.0,22.0,JavaScript
api-lambda-save-dynamodb,36.0,3.0,10.0,JavaScript
NewRelic-log-ingestion,13.0,20.0,16.0,Python
standard-redirects-for-cloudfront,16.0,2.0,3.0,JavaScript
api-lambda-send-email-ses,18.0,2.0,3.0,JavaScript
ffmpeg-lambda-layer,103.0,10.0,21.0,JavaScript
hello-world-python,42.0,7.0,22.0,JavaScript
SecretsManagerRedshiftRotationSingleUser,62.0,15.0,64.0,Python
alexa-skills-kit-nodejs-premium-facts-skill,53.0,25.0,56.0,JavaScript
AmazonConnectSalesforceLambda,6.0,3.0,3.0,Python
ALB-Lambda-Target-HelloWorld,211.0,22.0,67.0,Java
cloudwatch-alarm-to-slack,42.0,7.0,22.0,JavaScript
lambda-to-slack,5.0,1.0,5.0,Python
aws-deployment-framework,248.0,34.0,77.0,Python
serverless-todo,22.0,3.0,13.0,JavaScript
alexa-skills-kit-nodejs-hello-world,153.0,56.0,258.0,JavaScript
image-processing-service,42.0,7.0,22.0,JavaScript
amazon-cognito-passwordless-email-auth,83.0,5.0,31.0,TypeScript
alexa-skills-kit-nodejs-basic-welcome,1.0,0.0,0.0,JavaScript
sqs-poller,42.0,7.0,22.0,JavaScript
api-gateway-authorizer-nodejs,42.0,7.0,22.0,JavaScript
AthenaCloudwatchConnector,89.0,21.0,17.0,Java
AthenaDynamoDBConnector,89.0,21.0,17.0,Java
cloudfront-authorization-at-edge,45.0,7.0,13.0,TypeScript
s3-lambda-save-dynamodb,10.0,2.0,1.0,JavaScript
cloudwatch-alarm-to-slack-python3,42.0,7.0,22.0,JavaScript
simple-mobile-backend,42.0,7.0,22.0,JavaScript
lambda-layer-awscli,50.0,3.0,15.0,Makefile
SecretsManagerMongoDBRotationSingleUser,62.0,15.0,64.0,Python
sns-message,42.0,7.0,22.0,JavaScript
microservice-http-endpoint-python,42.0,7.0,22.0,JavaScript
s3-get-object,42.0,7.0,22.0,JavaScript
hello-go-serverless-webapp,19.0,3.0,4.0,Go
microservice-http-endpoint-python3,42.0,7.0,22.0,JavaScript
cloudfront-modify-response-header,42.0,7.0,22.0,JavaScript
AthenaJdbcConnector,89.0,21.0,17.0,Java
amazon-cloudfront-access-logs-queries,27.0,4.0,23.0,JavaScript
resize,90.0,8.0,40.0,JavaScript
api-lambda-update-dynamodb,3.0,2.0,1.0,JavaScript
cloudfront-http-redirect,42.0,7.0,22.0,JavaScript
Serverless-S3-Uploader,7.0,1.0,6.0,JavaScript
api-lambda-get-one-dynamodb,6.0,1.0,0.0,JavaScript
api-lambda-get-all-dynamodb,1.0,1.0,0.0,JavaScript
Tesseract,853.0,43.0,160.0,Python
cw-logs-to-lambda,1.0,1.0,0.0,Python
cw-logs-to-slack,4.0,1.0,3.0,Makefile
lambda-janitor,22.0,4.0,8.0,JavaScript
aws-serverless-twitter-event-source,65.0,14.0,17.0,Python
lambda-layer-kubectl,61.0,5.0,26.0,Makefile
tic-tac-toe,1.0,1.0,1.0,Python
aws-lambda-power-tuning,969.0,34.0,55.0,JavaScript
s3-get-object-python,42.0,7.0,22.0,JavaScript
sns-subscription-filter-policy-string,105.0,19.0,16.0,Python
amplify-passwordless-sms-auth,26.0,4.0,30.0,Swift
lambda-authorizer-basic-auth,29.0,1.0,3.0,Python
aws-sagemaker-ground-truth-recipe,6.0,1.0,6.0,Python
lightsail-backups,44.0,8.0,19.0,JavaScript
